1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.219626	-0.219626	-0.397781	0.000000	0.192119	2.883302	1.421078	0.126840	4.3	2.1	6582.4
1	-0.206861	-0.206861	-0.366601	0.000000	0.192119	2.912197	2.109603	0.123240	4.2	1.6	12.7
2	-0.209147	-0.209147	-0.366641	0.000000	0.192119	4.212085	3.604824	0.207399	7.4	1.6	18.0
3	-0.210596	-0.210596	-0.394543	1.000000	0.183386	2.193194	3.023260	0.088841	10.0	2.2	18.1
4	-0.222743	-0.222743	-0.402679	2.000000	0.175413	2.180662	1.879814	0.125205	4.0	1.8	12.9
5	-0.221461	-0.221461	-0.385971	1.094880	0.182599	4.190390	2.592941	0.182558	8.8	2.0	16.7
6	-0.227855	-0.227855	-0.395092	2.094866	0.174692	3.689118	1.259209	0.145009	5.8	1.6	12.4
7	-0.231895	-0.231895	-0.397558	3.094785	0.167443	3.692672	1.379305	0.163410	8.3	1.7	15.8
8	-0.227666	-0.227666	-0.396228	2.198858	0.173909	2.607902	2.692553	0.129316	3.4	1.9	13.4
9	-0.213493	-0.213493	-0.395641	3.195680	0.166744	1.903182	2.694943	0.095050	11.2	3.2	22.1
10	-0.236833	-0.236833	-0.409323	2.299510	0.173158	3.045734	2.339143	0.144545	4.0	1.7	9.7
11	-0.215512	-0.215512	-0.399318	3.037069	0.167845	1.942776	2.824781	0.099964	10.2	1.8	18.0
12	-0.214138	-0.214138	-0.383899	4.037064	0.161141	2.865899	2.388638	0.124099	3.6	1.7	10.7
13	-0.219406	-0.219406	-0.362540	4.217000	0.159991	4.575732	3.699925	0.192253	3.7	7.4	18.1
14	-0.224054	-0.224054	-0.399384	5.216889	0.153889	2.372672	2.487319	0.130503	12.5	1.7	20.5
15	-0.230598	-0.230598	-0.408856	6.216889	0.148235	2.321173	2.710472	0.123353	3.5	1.7	11.4
16	-0.229158	-0.229158	-0.413787	5.347551	0.153126	2.402346	2.909773	0.126203	3.3	1.5	10.3
17	-0.207098	-0.207098	-0.373065	6.323452	0.147657	2.012741	1.491964	0.105241	13.1	9.8	28.4
18	-0.212043	-0.212043	-0.370023	5.482862	0.152344	2.101613	1.857410	0.097396	3.1	1.6	12.7
19	-0.231327	-0.231327	-0.401756	4.577743	0.157735	2.445354	1.962841	0.160522	3.2	1.9	12.7
20	-0.228932	-0.228932	-0.412179	3.672624	0.163521	1.787070	2.453445	0.128751	7.5	3.4	16.6
21	-0.224265	-0.224265	-0.380946	2.767504	0.169748	2.336139	2.074601	0.111938	4.0	1.8	11.1
22	-0.228087	-0.228087	-0.408638	1.862383	0.176469	1.880396	3.123056	0.085311	6.2	1.8	13.9
23	-0.244730	-0.244730	-0.408928	1.511639	0.179218	1.809439	2.149978	0.114430	6.7	1.8	14.4
24	-0.214740	-0.214740	-0.397132	0.606986	0.186722	2.691860	1.737695	0.114722	3.1	2.5	11.4
25	-0.220821	-0.220821	-0.374344	1.443233	0.179764	1.734613	2.377770	0.091088	8.8	2.1	16.4
26	-0.212901	-0.212901	-0.375299	2.443233	0.172096	2.243327	2.282143	0.097803	3.4	2.1	10.9
